OfficeSymbols_2014\Concepts\Node_Generic.svg, 1842, 890, 48%
OfficeSymbols_2014\Concepts\Office_Installed.svg, 2221, 1080, 48%
OfficeSymbols_2014\Concepts\On_Premises.svg, 1658, 747, 45%
OfficeSymbols_2014\Concepts\On_Premises_Directory.svg, 3223, 2063, 64%
OfficeSymbols_2014\Concepts\Phishing.svg, 3128, 1724, 55%
OfficeSymbols_2014\Concepts\Pin.svg, 1656, 784, 47%
OfficeSymbols_2014\Concepts\Platform_Options.svg, 7831, 4198, 53%
OfficeSymbols_2014\Concepts\Properties.svg, 3972, 2127, 53%
OfficeSymbols_2014\Concepts\Publish.svg, 4657, 2396, 51%
OfficeSymbols_2014\Concepts\Remote_Access.svg, 3893, 2376, 61%
OfficeSymbols_2014\Concepts\Script.svg, 2939, 1646, 56%
OfficeSymbols_2014\Concepts\Search.svg, 1968, 1092, 55%
OfficeSymbols_2014\Concepts\Service_Application.svg, 4716, 3573, 75%
OfficeSymbols_2014\Concepts\Settings.svg, 4128, 3167, 76%
OfficeSymbols_2014\Concepts\Settings_Office_365.svg, 2679, 1839, 68%
OfficeSymbols_2014\Concepts\Sign_up.svg, 3460, 1945, 56%
OfficeSymbols_2014\Concepts\Sound_File.svg, 2819, 1526, 54%
OfficeSymbols_2014\Concepts\Tasks.svg, 2375, 1450, 61%
OfficeSymbols_2014\Concepts\Technical_Diagram.svg, 4586, 2963, 64%
OfficeSymbols_2014\Concepts\Upgrade_Application.svg, 2375, 1344, 56%
OfficeSymbols_2014\Concepts\Upgrade_Server.svg, 2281, 1258, 55%
OfficeSymbols_2014\Concepts\Upgrade_Site.svg, 4279, 2182, 50%
OfficeSymbols_2014\Concepts\Upload.svg, 2925, 1424, 48%
OfficeSymbols_2014\Concepts\Video_Play.svg, 1785, 958, 53%
OfficeSymbols_2014\Concepts\View_Form.svg, 4388, 2395, 54%
OfficeSymbols_2014\Concepts\Voicemail.svg, 2487, 1540, 61%
OfficeSymbols_2014\Concepts\Voicemail_Preview.svg, 3808, 2601, 68%
OfficeSymbols_2014\Concepts\Walkthrough.svg, 6532, 4088, 62%
OfficeSymbols_2014\Concepts\Website.svg, 7388, 4195, 56%
OfficeSymbols_2014\Concepts\Web_Conferencing.svg, 7390, 4592, 62%
OfficeSymbols_2014\Concepts\Web_Page.svg, 6429, 3632, 56%
OfficeSymbols_2014\Concepts\Web_Part.svg, 3551, 1833, 51%
OfficeSymbols_2014\Concepts\Web_Services.svg, 8699, 6069, 69%
OfficeSymbols_2014\Concepts\Whats_New.svg, 3128, 2203, 70%
OfficeSymbols_2014\Concepts\Windows_PowerShell.svg, 1044, 600, 57%
OfficeSymbols_2014\Concepts\Writing_Pen.svg, 2292, 1447, 63%
OfficeSymbols_2014\Concepts\Writing_Pencil.svg, 1653, 769, 46%
OfficeSymbols_2014\Databases\Address_Book_Store.svg, 6824, 3968, 58%
OfficeSymbols_2014\Databases\Application_Store.svg, 3210, 1738, 54%
OfficeSymbols_2014\Databases\Database-blue.svg, 1777, 955, 53%
OfficeSymbols_2014\Databases\Database-ghosted.svg, 7522, 4166, 55%
OfficeSymbols_2014\Databases\Database-green.svg, 1778, 956, 53%
OfficeSymbols_2014\Databases\Database-orange.svg, 1778, 956, 53%
OfficeSymbols_2014\Databases\Database.svg, 1692, 685, 40%
OfficeSymbols_2014\Databases\Database_Availability_Group.svg, 3739, 2079, 55%
OfficeSymbols_2014\Databases\Database_Cube-blue.svg, 7285, 3612, 49%
OfficeSymbols_2014\Databases\Database_Cube-ghosted.svg, 21856, 11421, 52%
OfficeSymbols_2014\Databases\Database_Cube-green.svg, 7276, 3603, 49%
OfficeSymbols_2014\Databases\Database_Cube-orange.svg, 7284, 3611, 49%
OfficeSymbols_2014\Databases\Database_Cube.svg, 7279, 3610, 49%
OfficeSymbols_2014\Databases\Database_mini_1-blue.svg, 1781, 953, 53%
OfficeSymbols_2014\Databases\Database_mini_1-ghosted.svg, 6543, 3692, 56%
OfficeSymbols_2014\Databases\Database_mini_1-green.svg, 1784, 956, 53%
OfficeSymbols_2014\Databases\Database_mini_1-orange.svg, 1784, 956, 53%
OfficeSymbols_2014\Databases\Database_mini_1.svg, 1781, 953, 53%
OfficeSymbols_2014\Databases\Database_mini_2-blue.svg, 2077, 1155, 55%
OfficeSymbols_2014\Databases\Database_mini_2-ghosted.svg, 9224, 5319, 57%
OfficeSymbols_2014\Databases\Database_mini_2-green.svg, 2077, 1155, 55%
OfficeSymbols_2014\Databases\Database_mini_2-orange.svg, 2077, 1155, 55%
OfficeSymbols_2014\Databases\Database_mini_2.svg, 2792, 1502, 53%
OfficeSymbols_2014\Databases\Database_mini_3-blue.svg, 2394, 1379, 57%
OfficeSymbols_2014\Databases\Database_mini_3-ghosted.svg, 12055, 7006, 58%
OfficeSymbols_2014\Databases\Database_mini_3-green.svg, 2400, 1385, 57%
OfficeSymbols_2014\Databases\Database_mini_3-orange.svg, 2394, 1379, 57%
OfficeSymbols_2014\Databases\Database_mini_3.svg, 3736, 2071, 55%
OfficeSymbols_2014\Databases\Database_Mirror.svg, 3585, 2006, 55%
OfficeSymbols_2014\Databases\Database_Mirror_Witness_Node.svg, 1529, 1014, 66%
OfficeSymbols_2014\Databases\Database_Partition_2.svg, 3037, 1668, 54%
OfficeSymbols_2014\Databases\Database_Partition_3.svg, 3835, 2187, 57%
OfficeSymbols_2014\Databases\Database_Partition_4.svg, 3485, 1978, 56%
OfficeSymbols_2014\Databases\Database_Partition_5.svg, 4565, 2640, 57%
OfficeSymbols_2014\Databases\Database_Public_Folder.svg, 3448, 1924, 55%
OfficeSymbols_2014\Databases\Database_Server-blue.svg, 2617, 1391, 53%
OfficeSymbols_2014\Databases\Database_Server-ghosted.svg, 6124, 3462, 56%
OfficeSymbols_2014\Databases\Database_Server-green.svg, 2617, 1391, 53%
OfficeSymbols_2014\Databases\Database_Server-orange.svg, 2617, 1391, 53%
OfficeSymbols_2014\Databases\Database_Server.svg, 2440, 1324, 54%
OfficeSymbols_2014\Databases\lib-office-databases-drawio.svg, 53076, 31879, 60%
OfficeSymbols_2014\Databases\Mailbox_Database.svg, 3416, 1819, 53%
OfficeSymbols_2014\Databases\Monitoring_Store.svg, 3248, 1862, 57%
OfficeSymbols_2014\Databases\Unified_Contact_Store.svg, 6111, 3126, 51%
OfficeSymbols_2014\Databases\Web_Store.svg, 6798, 3938, 57%
OfficeSymbols_2014\Devices\CD-DVD.svg, 2133, 1205, 56%
OfficeSymbols_2014\Devices\Cell_Phone_Android_Proportional.svg, 2426, 1418, 58%
OfficeSymbols_2014\Devices\Cell_Phone_Android_Stand-alone.svg, 2494, 1475, 59%
OfficeSymbols_2014\Devices\Cell_Phone_Generic.svg, 857, 441, 51%
OfficeSymbols_2014\Devices\Cell_Phone_iPhone_Proportional.svg, 2283, 1173, 51%
OfficeSymbols_2014\Devices\Cell_Phone_iPhone_Stand-alone.svg, 2108, 1093, 51%
OfficeSymbols_2014\Devices\Cell_Phone_Windows_Phone_Proportional.svg, 2591, 1365, 52%
OfficeSymbols_2014\Devices\Cell_Phone_Windows_Phone_Stand-alone.svg, 2435, 1294, 53%
OfficeSymbols_2014\Devices\Data_Jack.svg, 1942, 1115, 57%
OfficeSymbols_2014\Devices\Device_Bluetooth.svg, 3511, 2373, 67%
OfficeSymbols_2014\Devices\Device_Fax.svg, 3319, 2098, 63%
OfficeSymbols_2014\Devices\Device_Headset.svg, 2390, 1511, 63%
OfficeSymbols_2014\Devices\Device_Laptop.svg, 989, 526, 53%
OfficeSymbols_2014\Devices\Device_LCD_Monitor.svg, 922, 607, 65%
OfficeSymbols_2014\Devices\Device_Mac_Client.svg, 1780, 897, 50%
OfficeSymbols_2014\Devices\Device_Microphone.svg, 2035, 1162, 57%
OfficeSymbols_2014\Devices\Device_Phone_Digital.svg, 3256, 2186, 67%
OfficeSymbols_2014\Devices\Device_Phone_Traditional.svg, 5739, 3791, 66%
OfficeSymbols_2014\Devices\Device_Phone_USB.svg, 4697, 3460, 73%
OfficeSymbols_2014\Devices\Device_Phone_VoIP.svg, 8294, 5392, 65%
OfficeSymbols_2014\Devices\Device_Printer.svg, 2394, 1346, 56%
OfficeSymbols_2014\Devices\Device_RoundTable.svg, 2290, 1412, 61%
OfficeSymbols_2014\Devices\Device_Stylus.svg, 2674, 1416, 52%
OfficeSymbols_2014\Devices\Device_Tablet_Android.svg, 1345, 559, 41%
OfficeSymbols_2014\Devices\Device_Tablet_iPad.svg, 959, 527, 54%
OfficeSymbols_2014\Devices\Device_Tablet_iPad_Mini.svg, 2127, 1089, 51%
OfficeSymbols_2014\Devices\Device_Tablet_Windows_7-inch.svg, 1741, 908, 52%
OfficeSymbols_2014\Devices\Device_Tablet_Windows_8.svg, 1489, 613, 41%
OfficeSymbols_2014\Devices\Device_TV.svg, 1937, 1111, 57%
OfficeSymbols_2014\Devices\Device_Update_Service.svg, 6428, 4688, 72%
OfficeSymbols_2014\Devices\Device_Webcam.svg, 3243, 1909, 58%
OfficeSymbols_2014\Devices\Device_Webcam_HD.svg, 4219, 2501, 59%
OfficeSymbols_2014\Devices\Hard_Disk.svg, 3419, 1995, 58%
OfficeSymbols_2014\Devices\IP-PBX.svg, 5443, 2808, 51%
OfficeSymbols_2014\Devices\IP_Gateway.svg, 5024, 2475, 49%
OfficeSymbols_2014\Devices\Load_Balancer.svg, 4468, 2417, 54%
OfficeSymbols_2014\Devices\Management_Console.svg, 1359, 755, 55%
OfficeSymbols_2014\Devices\Modem.svg, 1935, 1183, 61%
OfficeSymbols_2014\Devices\NIC.svg, 2446, 1247, 50%
OfficeSymbols_2014\Devices\Router.svg, 4390, 2415, 55%
OfficeSymbols_2014\Devices\Session_Border_Controller.svg, 3219, 1986, 61%
OfficeSymbols_2014\Devices\Shadowed_Router.svg, 5442, 3108, 57%
OfficeSymbols_2014\Devices\Switch.svg, 5133, 2634, 51%
OfficeSymbols_2014\Devices\Video_Camera.svg, 1814, 892, 49%
OfficeSymbols_2014\Devices\Video_Gateway.svg, 6910, 3262, 47%
OfficeSymbols_2014\Devices\Workstation.svg, 2809, 1695, 60%
OfficeSymbols_2014\Devices\Workstation_PC.svg, 3903, 2250, 57%
OfficeSymbols_2014\Devices\Workstation_Visual_Studio.svg, 3418, 2109, 61%
OfficeSymbols_2014\Security\Active_Directory.svg, 1426, 856, 60%
OfficeSymbols_2014\Security\Address_Book_Policies.svg, 7085, 4296, 60%
OfficeSymbols_2014\Security\Certificate.svg, 3104, 1871, 60%
OfficeSymbols_2014\Security\Credentials.svg, 3358, 2148, 63%
OfficeSymbols_2014\Security\Domain.svg, 1491, 610, 40%
OfficeSymbols_2014\Security\Email_Address_Policy.svg, 3361, 1885, 56%
OfficeSymbols_2014\Security\Federation_Service.svg, 5600, 4196, 74%
OfficeSymbols_2014\Security\Federation_Trust.svg, 3471, 2088, 60%
OfficeSymbols_2014\Security\IRM-Protected_Message.svg, 2449, 1251, 51%
OfficeSymbols_2014\Security\Key_Permissions-blue.svg, 1672, 793, 47%
OfficeSymbols_2014\Security\Key_Permissions-ghosted.svg, 10026, 5849, 58%
OfficeSymbols_2014\Security\Key_Permissions-green.svg, 1678, 796, 47%
OfficeSymbols_2014\Security\Key_Permissions-orange.svg, 1675, 796, 47%
OfficeSymbols_2014\Security\Key_Permissions.svg, 1678, 799, 47%
OfficeSymbols_2014\Security\lib-office-security-drawio.svg, 61854, 35372, 57%
OfficeSymbols_2014\Security\Lock_Protected-blue.svg, 1707, 836, 48%
OfficeSymbols_2014\Security\Lock_Protected-ghosted.svg, 7968, 4351, 54%
OfficeSymbols_2014\Security\Lock_Protected-green.svg, 1711, 840, 49%
OfficeSymbols_2014\Security\Lock_Protected-orange.svg, 1711, 840, 49%
OfficeSymbols_2014\Security\Lock_Protected.svg, 1707, 836, 48%
OfficeSymbols_2014\Security\Lock_Unprotected-blue.svg, 1699, 829, 48%
OfficeSymbols_2014\Security\Lock_Unprotected-ghosted.svg, 8169, 4439, 54%
OfficeSymbols_2014\Security\Lock_Unprotected-green.svg, 1698, 823, 48%
OfficeSymbols_2014\Security\Lock_Unprotected-orange.svg, 1699, 829, 48%
OfficeSymbols_2014\Security\Lock_Unprotected.svg, 1613, 839, 52%
OfficeSymbols_2014\Security\Lock_with_Key_Security-blue.svg, 2952, 1812, 61%
OfficeSymbols_2014\Security\Lock_with_Key_Security-ghosted.svg, 5427, 3123, 57%
OfficeSymbols_2014\Security\Lock_with_Key_Security-green.svg, 2955, 1815, 61%
OfficeSymbols_2014\Security\Lock_with_Key_Security-orange.svg, 2954, 1814, 61%
OfficeSymbols_2014\Security\Lock_with_Key_Security.svg, 2886, 1755, 60%
OfficeSymbols_2014\Security\Management_Role.svg, 2148, 1227, 57%
OfficeSymbols_2014\Security\Policy.svg, 2297, 1359, 59%
OfficeSymbols_2014\Security\Protected_Voice_Mail.svg, 3483, 2170, 62%
OfficeSymbols_2014\Security\Retention_Policy.svg, 4320, 2794, 64%
OfficeSymbols_2014\Security\Retention_Policy_Tag.svg, 3383, 2092, 61%
OfficeSymbols_2014\Security\Role_Assignment_Policy.svg, 3734, 2233, 59%
OfficeSymbols_2014\Security\Role_Group.svg, 6112, 4009, 65%
OfficeSymbols_2014\Security\Secure_Messaging.svg, 2826, 1551, 54%
OfficeSymbols_2014\Security\Security_Access_Portal.svg, 3808, 2608, 68%
OfficeSymbols_2014\Security\Sharing_Policy.svg, 4251, 2660, 62%
OfficeSymbols_2014\Security\Split-Domain_User.svg, 7920, 4416, 55%
OfficeSymbols_2014\Security\Token.svg, 1153, 729, 63%
OfficeSymbols_2014\Security\Token_Service.svg, 5515, 4167, 75%
OfficeSymbols_2014\Security\Trusted_Application_Server.svg, 2548, 1437, 56%
OfficeSymbols_2014\Security\UM_Mailbox_Policy.svg, 4689, 3354, 71%
OfficeSymbols_2014\Security\Universal_Security_Group.svg, 6548, 4482, 68%
